tAB	nAB	tAC	nAC	tBC	nBC	ChA	ChB
0.00	0.00	0.00	0.00	0.00	0.00	9547838.00	8642310.00
0.00	0.00	0.00	0.00	0.00	0.00	9571365.00	8673120.00
0.00	0.00	0.00	0.00	0.00	0.00	9585343.00	8943933.00
0.00	0.00	0.00	0.00	0.00	0.00	9621594.00	8987400.00
0.00	0.00	0.00	0.00	0.00	0.00	9623592.00	9130996.00
0.00	0.00	0.00	0.00	0.00	0.00	9836356.00	9338927.00
0.00	0.00	0.00	0.00	0.00	0.00	9899268.00	9531096.00
0.00	0.00	0.00	0.00	0.00	0.00	10092831.00	9532597.00
0.00	0.00	0.00	0.00	0.00	0.00	10290684.00	9618617.00
0.00	0.00	0.00	0.00	0.00	0.00	10317689.00	9662259.00
0.00	0.00	0.00	0.00	0.00	0.00	10395237.00	9695312.00
0.00	0.00	0.00	0.00	0.00	0.00	10474314.00	9832746.00
0.00	0.00	0.00	0.00	0.00	0.00	10489513.00	10061953.00
0.00	0.00	0.00	0.00	0.00	0.00	10493115.00	10104272.00
0.00	0.00	0.00	0.00	0.00	0.00	10534502.00	10152064.00
0.00	0.00	0.00	0.00	0.00	0.00	10538769.00	10328758.00
0.00	0.00	0.00	0.00	0.00	0.00	10540661.00	10357616.00
0.00	0.00	0.00	0.00	0.00	0.00	10797871.00	10518637.00
0.00	0.00	0.00	0.00	0.00	0.00	10848877.00	10541143.00
0.00	0.00	0.00	0.00	0.00	0.00	10852595.00	10758222.00
0.00	0.00	0.00	0.00	0.00	0.00	10893499.00	10763412.00
0.00	0.00	0.00	0.00	0.00	0.00	10979510.00	10868799.00
0.00	0.00	0.00	0.00	0.00	0.00	11075538.00	10891364.00
0.00	0.00	0.00	0.00	0.00	0.00	11079283.00	11179849.00
0.00	0.00	0.00	0.00	0.00	0.00	11150747.00	11194687.00
0.00	0.00	0.00	0.00	0.00	0.00	11183526.00	11217459.00
0.00	0.00	0.00	0.00	0.00	0.00	11225577.00	11262417.00
0.00	0.00	0.00	0.00	0.00	0.00	11264520.00	11431568.00
0.00	0.00	0.00	0.00	0.00	0.00	11290301.00	11431981.00
0.00	0.00	0.00	0.00	0.00	0.00	11388571.00	11433682.00
0.00	0.00	0.00	0.00	0.00	0.00	11410156.00	11434332.00
0.00	0.00	0.00	0.00	0.00	0.00	11425430.00	11435045.00
0.00	0.00	0.00	0.00	0.00	0.00	11427758.00	11435358.00
0.00	0.00	0.00	0.00	0.00	0.00	11428054.00	11444567.00
0.00	0.00	0.00	0.00	0.00	0.00	11432244.00	11605449.00
0.00	0.00	0.00	0.00	0.00	0.00	11434421.00	11611580.00
0.00	0.00	0.00	0.00	0.00	0.00	11436119.00	11652341.00
0.00	0.00	0.00	0.00	0.00	0.00	11436484.00	11722932.00
0.00	0.00	0.00	0.00	0.00	0.00	11470424.00	11726000.00
0.00	0.00	0.00	0.00	0.00	0.00	11476623.00	11792068.00
0.00	0.00	0.00	0.00	0.00	0.00	11602929.00	11970005.00
0.00	0.00	0.00	0.00	0.00	0.00	11718207.00	12005939.00
0.00	0.00	0.00	0.00	0.00	0.00	11735219.00	12007381.00
0.00	0.00	0.00	0.00	0.00	0.00	11907403.00	12180409.00
0.00	0.00	0.00	0.00	0.00	0.00	12379466.00	12274080.00
0.00	0.00	0.00	0.00	0.00	0.00	12427108.00	12278080.00
0.00	0.00	0.00	0.00	0.00	0.00	12482834.00	12328097.00
0.00	0.00	0.00	0.00	0.00	0.00	12530399.00	12573232.00
0.00	0.00	0.00	0.00	0.00	0.00	12682947.00	12587570.00
0.00	0.00	0.00	0.00	0.00	0.00	12686966.00	12942452.00
0.00	0.00	0.00	0.00	0.00	0.00	12950485.00	12996629.00
0.00	0.00	0.00	0.00	0.00	0.00	13192687.00	13115733.00
0.00	0.00	0.00	0.00	0.00	0.00	13502666.00	13464616.00
0.00	0.00	0.00	0.00	0.00	0.00	13582418.00	13616992.00
0.00	0.00	0.00	0.00	0.00	0.00	13805765.00	13690430.00
0.00	0.00	0.00	0.00	0.00	0.00	13981894.00	13717272.00
