	chA	chB
636706	55154594174	47085374512
484897	41937233759	35809025706
1066518	92191521788	78804897230
1113023	96343540150	82125123174
292033	25362484421	21492295179
266663	23144380507	19617972478
769808	66597240527	56970342553
878815	76202716802	64754112239
543870	47117305127	40038303778
428317	37131027577	31796032841
567744	49208355186	41779709321
386546	33548582017	28803905008
467266	40443083681	34521209062
1482936	0	109159159073
1212713	105003074175	89204182823
670976	58125658019	49772559041
364935	31701620759	27142787694
1430972	123908365957	105423431552
845231	73299147431	62318583133
987493	85443196827	73008083038
1012662	87568869397	74922972041
204102	17777060675	15116017975
791860	68553260315	58525856012
1190225	103098630601	87593249639
1364569	118001848653	100699679243
1580742	0	116176650454
597853	51797407219	44034971557
994513	86041779938	73524922304
638029	55269433821	47186818865
1416695	122623523927	104404108345
1606622	0	118092037181
82509	7301602602	6212047476
275985	23978455529	20297457563
91997	8145402019	6923625646
1640939	0	120660574388
1623803	0	119365133163
998469	86376564619	73819395112
276924	24061031383	20358963867
1578623	0	116024145958
809909	70141522553	59809972180
1445589	125219140222	106485497371
1488042	0	109529047884
127817	11255248254	9683809281
1409726	121999402701	103913000797
266036	23094044071	19572333091
527638	45709690893	38862617553
88061	7808955762	6631094107
1213945	105107436426	89297527092
843671	73153757695	62206982728
1507131	0	110882887542
1351129	116837050970	99729581992
1006133	87007247589	74402077884
1010194	87355769939	74726058385
1167096	101147557146	85935773489
1186297	102767271855	87317642412
344440	29934131392	25559368863
94881	8400556581	7148384876
25374	2210998728	1841590726
934794	80986563873	68990195300
1723810	0	126925392428
267567	23228611207	19682671880
1269102	109817883118	93473659700
1197603	103711979272	88120895943
360357	31317137704	26790044823
464646	40225340204	34340255133
1307274	113038716392	96413630708
1016312	87882281362	75185090057
517244	44783882504	38118323785
137799	12092878912	10435848481
904769	78421460908	66690736805
559938	48523432364	41212704504
1518700	0	111697732015
745067	64442787467	55215770817
1017460	87977257570	75257850022
440440	38162546291	32652324344
1393865	120587937558	102798248691
1601441	0	117711779983
206741	18011060455	15304572384
370051	32140966186	27542175009
1295530	112035257892	95511168689
182648	15964611713	13576323745
1095728	94795106908	80906282469
214176	18633528615	15830778093
250523	21759629771	18436110623
1483893	0	109232095620
871454	75557059019	64198534619
1555252	0	114322482375
1591417	0	116961615759
1179145	102165727435	86798726911
1639629	0	120551749463
1115605	96576930451	82298019843
366948	31877689836	27292824309
1636519	0	120314672852
1181608	102376995331	86973976570
931759	80718477099	68763862293
1220230	105635231842	89768012414
1264785	109449399437	93140729122
212841	18523487663	15739649292
1613451	0	118608740120
454126	39328034942	33605135182
688564	59591902067	51140748768
246978	21443809091	18187655595
678687	58776012118	50372694225
286046	24857325401	21044878294
1524968	0	112143599200
1581727	0	116252742813
1036887	89621267687	76670518976
1414204	122404585887	104227903388
262885	22828368471	19343088183
981875	84965694193	72588542707
137042	12035521448	10375027779
1431242	123938456419	105442289555
3331	308357104	240272679
1168397	101260152102	86028571488
401258	34829296892	29896744813
730209	63171734584	54150843672
766725	66324905936	56750444572
684316	59245538058	50815686702
1000157	86509356918	73954886279
1151611	99769490973	84842690572
1255295	108654780418	92418722568
864782	74989991209	63710948653
279265	24265536396	20537851150
847330	73485569556	62463925644
764909	66178156876	56615531100
1711327	0	125987933211
1557420	0	114467313177
502231	43448954038	37041250142
1449348	125557554259	106765025634
728634	63032774574	54035074487
673178	58315676126	49950807174
1008097	87172217657	74565570823
1134227	98257027073	83607883068
1455260	126083059268	107191564294
1030018	89027800942	76180181873
428577	37153104744	31813457854
450183	38996376826	33326980975
1254572	108589419135	92355290838
136992	12031159576	10370317704
26583	2317110866	1928689340
838220	72663402922	61805281638
1563557	0	114928369911
1720918	0	126716851670
205483	17899009576	15213015403
644978	55874238375	47734648955
32169	2807346857	2347047152
767927	66431096617	56825395262
1691082	0	124451795498
1078039	93211104775	79646809188
1686553	0	124117422551
47686	4171692577	3523022302
723097	62546246741	53638821593
406643	35291005786	30287156566
412236	35784742529	30680929869
287963	25015125673	21194735403
1462766	126750688642	107728387169
740481	64057077891	54876655796
782109	67688650191	57835461556
1227739	106292657806	90325195148
421835	36590563771	31345378529
966227	83665940645	71394031373
794356	68777792751	58705747874
775741	67129861346	57381664938
634076	54934477338	46881470363
1547885	0	113774894638
910804	78934082727	67149799564
925033	80141044641	68238777834
653990	56662852210	48433964697
1398071	120963081883	103096927116
1726320	0	127101708495
344201	29909039624	25543162982
1072393	92725897847	79235497457
1318890	114043372383	97322576970
647255	56079117526	47912658841
481140	41610746769	35532670283
1145307	99226216705	84384322463
1104220	95543059386	81501755924
634661	54977773133	46926702556
1693256	0	124622500347
427687	37075002126	31757806793
739223	63940065595	54785153418
705163	61019511024	52359421138
852335	73912135061	62823145168
886755	76884547909	65340985489
61015	5382108804	4556883051
1693219	0	124619886292
504198	43625123135	37176574956
1546093	0	113651900137
1047981	90580052965	77473641715
1079194	93315421080	79730739784
760892	65817917904	56340584058
959815	83116299731	70905399976
1567325	0	115207295610
187571	16384856623	13920036222
24704	2155198162	1787133270
1305845	112917342439	96298972141
669915	58033708945	49687484105
1126427	97568401857	83058288977
17572	1541694844	1262521361
939603	81392166491	69361655601
1501995	0	110512677996
889333	77108004131	65533236182
1432482	124046260625	105533020790
1108162	95902321997	81781029059
938340	81284272545	69263361054
221436	19261358125	16339640422
1681485	0	123738442383
604318	52356754867	44544850437
1246866	107951938795	91778369015
107413	9511630965	8115656229
1048200	90598996117	77494048378
1620064	0	119087830346
577758	50070785311	42524968877
177628	15528175409	13219383216
802137	69459401058	59271363441
342039	29715467460	25372929793
68163	6021835296	5106581375
1637035	0	120355841975
291745	25342876130	21474443677
437020	37866574847	32408583464
696575	60289810962	51732035227
1181864	102403014506	86989133128
1497698	0	110209756831
1168133	101232910297	86010802511
1144988	99195194272	84365691062
622799	53969958067	45986076415
892087	77341480482	65733467791
1498820	0	110291739314
1158968	100422707471	85351901615
1314493	113661510343	96971270172
739708	63984852993	54825556030
1184708	102632343292	87202642440
1093694	94612844903	80764371304
696878	60319827044	51757790576
215774	18773936723	15943137630
1372724	118720459727	101281653112
171103	14945354696	12756600661
821870	71209724555	60649423542
24336	2124253553	1762121270
224092	19474109186	16527469454
1719530	0	126614816839
1616960	0	118864965157
295361	25645449727	21732759840
1651465	0	121462709732
778517	67367564332	57574964516
1042060	90062467803	77052689959
333456	28983541959	24688919477
1028671	88909737606	76083134005
805777	69773819313	59522555038
1240494	107421935293	91297729714
994521	86042611832	73525514080
1111491	96201783819	82018934864
1219151	105542362191	89689445079
1499702	0	110347923518
1463225	126795882978	107757692680
45293	3961870423	3341124314
1595067	0	117240775051
159155	13905715849	11940819653
1276623	110440483854	94053676983
260811	22647879672	19188484660
1652541	0	121548462227
805899	69783589550	59533032977
1203107	104182438929	88517305352
1189572	103035716784	87543842978
524535	45429032537	38628880860
72009	6368901482	5408242973
281550	24466717521	20712519492
1630200	0	119837752045
575048	49850701088	42319535779
227048	19732915809	16746749414
425200	36868769613	31584603939
1496777	0	110137117853
813408	70444149111	60059701670
1697172	0	124915992994
1057313	91398766638	78148775941
220530	19182026613	16283072895
1027521	88817327304	75997849902
1593080	0	117091032272
1483416	0	109188488900
590218	51132167465	43450027551
1220464	105663349237	89786546571
805911	69784621442	59533754194
1216286	105312175186	89470076526
561245	48642033275	41308075969
264353	22944030435	19453386123
1315319	113724573047	97043717691
663482	57480245502	49189504342
57481	5051743797	4281042517
1370948	118565171848	101152542719
1112252	96275915126	82067038675
1701427	0	125228846470
1185230	102680641355	87242264196
1645579	0	121008691643
534357	46291895537	39351569977
1655704	0	121782362581
174782	15269032817	13016977659
1345777	116355484022	99334337775
1388647	120115630560	102431207357
50138	4382258847	3709849484
363712	31604135488	27049375794
1653299	0	121602900161
315588	27426614066	23274719596
430477	37311514503	31951701952
1219705	105595646394	89735694319
1730396	0	127408011735
1101865	95332338159	81335786007
882927	76567232311	65057834687
741566	64143483219	54955403279
1170286	101413563830	86173826789
53102	4658087152	3934136638
1339402	115801384319	98860214638
936817	81155382951	69146813825
1731989	0	127517999442
480576	41573690562	35492160575
1029583	88988595302	76141348789
1490523	0	109706492352
304846	26483248454	22460209988
82842	7335305122	6235225594
1488806	0	109574496808
1525594	0	112189259921
988013	85498023102	73040423831
1063517	91937217623	78596091861
801735	69416121937	59241345920
923814	80041230540	68144930365
96385	8531415323	7261961311
1521023	0	111860025962
52087	4566001095	3867202374
102177	9053943688	7704429492
1056756	91357772586	78117180138
955849	82782349014	70604063394
162528	14192008412	12166275266
884851	76727184275	65200049180
1537936	0	113071596752
644266	55813205134	47669307073
267188	23199594085	19658976795
1641974	0	120736523755
134264	11797620390	10168566732
857149	74346786652	63159525858
1332828	115231980113	98374779588
845347	73306775095	62328584561
900750	78076356563	66389157675
328340	28528696028	24289683749
837331	72585652200	61748165511
1689989	0	124368159883
1386966	119967506511	102311759332
1414101	122396016046	104219046799
1641025	0	120668831975
1160467	100553031629	85462220798
1513877	0	111346868990
813952	70500055845	60100225403
32921	2865702003	2399277913
322774	28047989298	23847693533
878638	76191000200	64742483310
1723463	0	126898004220
1702127	0	125288174806
155725	13610685425	11701850271
925081	80144115395	68241407917
942876	81675718306	69597280484
488839	42274505359	36085989046
1258214	108890211241	92635635846
1694191	0	124691474697
825574	71539076401	60917347873
1728819	0	127291535665
1517927	0	111646638892
651536	56442708754	48242813098
675953	58542740260	50162507700
1517086	0	111579625788
258458	22449717844	19012374132
174038	15209794422	12958282958
824162	71407720580	60814230178
101666	9003061052	7660391387
210698	18341427896	15594113529
1100544	95219368093	81241398625
91782	8129119057	6904770511
1047742	90554357876	77458076647
1406112	121675451026	103668051112
364662	31685484319	27117260004
1653216	0	121596748376
169065	14759618724	12626515740
433330	37550449664	32152501415
201809	17589621163	14945614525
387219	33608302730	28854053265
787575	68173403779	58223849436
122606	10817121080	9289585354
741106	64101653883	54928430706
1605389	0	118003254646
1628182	0	119697310813
1476575	0	108712167979
1410885	122104431118	103990187255
1417956	122735692843	104496728680
1667920	0	122712507238
1732732	0	127576070225
871236	75538406753	64185659920
785294	67968141922	58054053745
679490	58839859040	50438982131
1347294	116483801445	99449025466
854973	74150856597	63011204799
1045566	90363288625	77301769554
1351133	116837273975	99729864579
1145005	99196620495	84366874080
866876	75172153344	63865760839
1199553	103881702449	88264230978
49094	4288315184	3630290525
1724825	0	126994774088
640041	55452121907	47352299595
20485	1784300224	1478657028
247174	21465641101	18203457906
814886	70579555361	60160810530
1021653	88330146609	75573883186
1248772	108108521736	91925590245
746737	64575522923	55330898419
1303925	112751407128	96163670747
991232	85774373609	73292335365
465930	40332327843	34423397363
237620	20622211373	17507157651
1151165	99737192217	84810483646
1143678	99081644112	84273401520
293530	25496635573	21599985704
391437	33973575725	29166858019
170265	14869803686	12709179846
732111	63326887616	54277699571
1174625	101775651832	86484293240
18011	1580425899	1293495629
346555	30115281951	25731085322
125011	11018021320	9472357840
1419038	122832116469	104571836334
589971	51115034251	43432568583
208967	18204608958	15460218130
1431245	123938836330	105442491929
1238294	107235160298	91123068212
1051471	90883972178	77737226853
136944	12025453217	10366052619
1674773	0	123230034412
163919	14303721314	12263084381
1610598	0	118396708635
151028	13215681403	11375105917
687918	59542948097	51099678509
1506871	0	110866245844
1363594	117916895738	100626133890
686747	59443138623	51003043143
578160	50113580119	42552565394
781369	67624471460	57781646536
1412209	122220762996	104080111661
888732	77060847811	65494634113
964047	83481027418	71219364620
153602	13425082037	11555381161
1211033	104851822128	89083087444
229671	19946136095	16937428023
1348317	116574584400	99528071663
1639858	0	120575135315
1483083	0	109168306778
380903	33058182978	28380531802
1452569	125842125403	107005066880
157987	13804994687	11863866797
1621856	0	119228650018
855305	74176641362	63032200357
1365463	118083659387	100761465819
178348	15590584885	13265824423
524556	45430223624	38630220029
1220208	105633105696	89767325172
793004	68653261863	58609829318
145191	12726679345	10954171627
1073681	92828982635	79327395782
1013318	87629250616	74963869361
1625505	0	119497410059
303861	26394864558	22377994409
1381386	119472883198	101903193125
611997	53028908570	45133020107
749056	64774751053	55504908257
